test_name,batch_size,exponent_bits,window_size,num_windows,prove_time_us,memory_bytes,memory_reduction,speedup,parallel_efficiency,cache_hit_ratio,fft_ops,verification_success
Cache_100x1024_w128,100,1024,128,1,76645,1099776,1.00,1.00,1.00,0.75,1024,true
Cache_100x1024_w16,100,1024,16,7,15328,393216,1.00,1.00,0.69,0.95,896,true
Cache_100x1024_w32,100,1024,32,4,26242,1064960,1.00,1.00,0.60,0.90,1024,true
Cache_100x1024_w64,100,1024,64,2,49855,1081344,1.00,1.00,0.40,0.80,1024,true
Cache_50x512_w16,50,512,16,4,9052,1056768,1.00,1.00,0.60,0.95,512,true
Cache_50x512_w32,50,512,32,2,14275,1064960,1.00,1.00,0.40,0.90,512,true
Cache_50x512_w64,50,512,64,1,21069,1074176,1.00,1.00,1.00,0.80,512,true
Cache_50x512_w8,50,512,8,7,6264,1052672,1.00,1.00,0.69,0.95,448,true
EdgeCase_1x256_w32,1,256,32,1,1853,1049088,1.00,1.00,1.00,0.90,256,true
EdgeCase_5x64_w32,5,64,32,1,1927,1051136,1.00,1.00,1.00,0.90,256,true
EdgeCase_64x256_w64,64,256,64,1,14569,1081344,1.00,1.00,1.00,0.80,512,true
EdgeCase_97x128_w32,97,128,32,4,5790,1064960,1.00,1.00,0.60,0.90,1024,true
Extended_1000x512_w128,1000,512,128,8,54257,1114112,1.00,1.00,0.70,0.75,8192,true
Extended_1000x512_w256,1000,512,256,4,102220,1179648,1.00,1.00,0.60,0.60,8192,true
Extended_1000x512_w64,1000,512,64,16,56613,393216,1.00,1.00,0.70,0.80,8192,true
Extended_2000x256_w128,2000,256,128,16,57540,1114112,1.00,1.00,0.70,0.75,16384,true
Extended_2000x256_w64,2000,256,64,32,60253,393216,1.00,1.00,0.70,0.80,16384,true
Extended_500x256_w128,500,256,128,4,28871,1114112,1.00,1.00,0.60,0.75,4096,true
Extended_500x256_w32,500,256,32,16,18156,1064960,1.00,1.00,0.70,0.90,4096,true
Extended_500x256_w64,500,256,64,8,29316,1081344,1.00,1.00,0.70,0.80,4096,true
Memory_100x256_w16,100,256,16,7,8632,1056768,1.00,1.00,0.69,0.95,896,true
Memory_100x256_w32,100,256,32,4,9153,1064960,1.00,1.00,0.60,0.90,1024,true
Memory_100x256_w64,100,256,64,2,14776,1081344,1.00,1.00,0.40,0.80,1024,true
Memory_200x512_w128,200,512,128,2,51500,1114112,1.00,1.00,0.40,0.75,2048,true
Memory_200x512_w32,200,512,32,7,15780,393216,1.00,1.00,0.69,0.90,1792,true
Memory_200x512_w64,200,512,64,4,27868,1081344,1.00,1.00,0.60,0.80,2048,true
Memory_50x128_w16,50,128,16,4,4217,1056768,1.00,1.00,0.60,0.95,512,true
Memory_50x128_w32,50,128,32,2,5231,1064960,1.00,1.00,0.40,0.90,512,true
Memory_50x128_w64,50,128,64,1,6882,1074176,1.00,1.00,1.00,0.80,512,true
Memory_50x128_w8,50,128,8,7,4112,1052672,1.00,1.00,0.69,0.95,448,true
Scaling_100x512_w128,100,512,128,1,40533,1099776,1.00,1.00,1.00,0.75,1024,true
Scaling_100x512_w16,100,512,16,7,9782,1056768,1.00,1.00,0.69,0.95,896,true
Scaling_100x512_w32,100,512,32,4,15419,1064960,1.00,1.00,0.60,0.90,1024,true
Scaling_100x512_w64,100,512,64,2,26697,1081344,1.00,1.00,0.40,0.80,1024,true
Scaling_200x1024_w128,200,1024,128,2,98002,1114112,1.00,1.00,0.40,0.75,2048,true
Scaling_200x1024_w256,200,1024,256,1,151091,393216,1.00,1.00,1.00,0.60,2048,true
Scaling_200x1024_w32,200,1024,32,7,27949,4718592,1.00,1.00,0.69,0.90,1792,true
Scaling_200x1024_w64,200,1024,64,4,50344,1081344,1.00,1.00,0.60,0.80,2048,true
SlidingOptimal_100x512_w32,100,512,32,4,26897,1064960,0.74,0.23,0.60,0.90,1024,true
SlidingOptimal_200x1024_w64,200,1024,64,4,53161,1081344,11.27,0.40,0.60,0.80,2048,true
SlidingOptimal_50x256_w16,50,256,16,4,5675,1056768,6.56,0.34,0.60,0.95,512,true
Traditional_100x512,100,512,100,1,6201,786432,1.00,1.00,1.00,0.60,1,true
Traditional_200x1024,200,1024,200,1,21454,12189696,1.00,1.00,1.00,0.60,1,true
Traditional_50x256,50,256,50,1,1922,6932480,1.00,1.00,1.00,0.60,1,true
